Shot,C1,C2,C3,C4,RMSE_R,R2_R,RMSE_Z,R2_Z
45754,-0.0004495752981881,0.4524626663152174,-0.0003936509758456,0.0044130677347006,0.009984846,0.06845,0.008210119,0.623674
45967,-0.0001777506764905,0.4601572060296768,-1.5897106983907814e-05,0.0071825848542095,0.006882713,0.052496,0.01211467,0.0098
46241,-0.0002726278070585,0.4589171325630652,0.0002171099201744,0.0038978081866704,0.008690624,0.269666,0.007847797,0.045727
52856,1.5387585284595065e-05,0.4552300293043091,-7.813717822498042e-05,-0.0007833594779155,0.007367527,-0.005123,0.011047,-0.029263
52857,1.681688960026461e-05,0.455541458025539,0.0001191149155656,-0.0019019963934696,0.008092733,-0.004318,0.009525144,0.092135
53058,-4.671197068637713e-05,0.4583402632855025,6.5253894709333655e-06,-0.0035337401517612,0.005583302,0.027423,0.007546026,-0.063804
53071,-4.5430838816819807e-05,0.4595654584997981,2.986167038220074e-05,0.000829002291752,0.006163159,0.052733,0.01025484,-0.016076
53099,-3.861123428125177e-06,0.456654900089462,3.403815314747157e-05,-0.0007163969135057,0.006692621,-0.004003,0.00865414,-0.017667
53105,-0.00017933985404666768,0.462972642156437,-0.00044163490467482094,0.004206277129953195,0.007941979,0.114742,0.011004,-0.060285
53197,-5.9320926601269828e-05,4.5961701342773953e-01,2.6331260778254540e-04,-2.0689652275340965e-03,9.144571e-03,0.008357,1.083160e-02,0.197470
